# Protein abundances computed from file '/tmp/knime_labelfree_MSGFp30355/fs-Conse_0-134-30361/000/000/ConsensusMapNormalizer_0/20190103_A1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"slr0602"	1	0	2	15390050	14558160	16963130	10825240	11161070	16753490	13253094	6175110	20850220	18639880
"slr0603"	1	0	4	33265391.7998047	24885154	29247660	30466760	26987196.1992188	11532710.7998047	77465897	46052499	20051130	32258520
"slr0604"	1	0	9	719990496	579984688	647428638	405298143	598269035	529662546	412308458	588704550	528306042	489639438
"slr0605"	1	0	4	45973000	64233820	52364041	36570120	31331620	38853630	11314050	19749140	17423420	38512960
"slr0606"	1	0	5	345677276	310623250.101562	330999660	372678550	510047507	430998678	306196796	327521624	320793690	444351022
"slr0607"	1	0	2	145607468	93320428	88996040	123197011	101676310	92543480	87486950	75969000	133931054	86816810
"slr0608"	1	0	2	72077200	71596500	79733600	60695400	80524400	104766100	56516800	54892800	65027800	78025300
"slr0609"	1	0	7	221594710	218766930	363765680	174388640	281134443	284577606	254156540	233726620	297591690	230460460
"slr0611"	1	0	2	43158700	35905900	35564800	37269400	29163000	28014300	33434300	25293000	53573700	16552970
"slr0613"	1	0	2	12533550	6111010	6451990	16906650	16072330	16790400	21534860	15845190	7601630	11980110
"slr0615"	1	0	2	1057154	390210	1318910	0	0	12992240	10945080	8620713	3908350	8256410
"slr0618"	1	0	1	6545700	4257450	3246590	1407170	0	7514330	2325510	0	3781120	5769020
"slr0619"	1	0	1	13371200	8871700	13278200	11046100	8707900	12307800	7934630	9511490	8222870	7901590
"slr0623"	1	0	7	7175313679	5271326284.5	8140714842	5414607110	6940055553	7379089934	4196725780	4756883304	5676268960	4943564702
"slr0624"	1	0	2	48461367	54784230	161727200	82017200	42582547	68672750	49468240	24122330	18156020	53779950
"slr0626"	1	0	6	179790700	156421013	196312400	138770700	210573100	194040910	210284336	175831900	233739004	194621760
"slr0628"	1	0	2	348595	2918975	718305	189584	549028	542515	2548123.59960938	5343616	2754576	638417
"slr0630"	1	0	2	0	0	2693780	0	1472040	2465720	51963100	4095880	4608405	184080
"slr0633"	1	0	5	60030750	51062812	104686860	98629020	80537830	79012750	103923890	72095320	115156600	100776730
"slr0634"	1	0	2	15628100	13493982	26124328	40901060	20509690	17200628	15570218	11470730	19420510	37595450
"slr0635"	1	0	2	83954500	70370600	56564300	59352500	72815600	79229700	66564480	75798000	64221770	81884196
"slr0637"	1	0	5	95338380	107363090	90763580	103397610	94888850	85726230	119927740	104465500	98037660	112429630
"slr0638"	1	0	5	216171440	262935496	276970134	207478500	196311110	208315560	209546336	203875760	152740944	215633800
"slr0645"	1	0	6	242664439	234402323	278478596	253143496	255310987.296875	199348710	172610910	211623054	314519746	327775030
"slr0646"	1	0	3	105373026	5937180	49905100	25050780	12308470	117563170	31337140	38490900	44810520	18517328
"slr0649"	1	0	9	206205310	212222734	393246506	230946590	185397049	341860896	317037597	387748018	350425130	410090768
"slr0650"	1	0	4	83496820	106686120	159127900	103379690	132576800	129967774	96944550	87684000	134959860	115897570
"slr0651"	1	0	2	58435660	144518444	91630350	66845480	66014640	102367850	118046940	109869790	76822466	78266260
"slr0652"	1	0	6	250531356	206617690	204483310	271343860	217134176	208117710	236641544	140650230	169327300	210023536
"slr0653"	1	0	5	155669901	111376950	160793390	157796660	162489500	110631020	162156000	138203920	192618700	156084260
"slr0654"	1	0	1	43029100	18669300	76550896	47844200	5112720	20422000	16893000	30337300	17308600	57391700
"slr0657"	1	0	9	343343384	391320570	556127600	333273856	469101060	477552224	515172550	408667940	684332714.800781	533933340
"slr0658"	1	0	5	79351180	74423440	70184910	73510270	68422990	89060560	142745930	62053850	94293110	127079690
"slr0659"	1	0	9	305289159	283843498	304000880	303139780	314953500	331366731	317074250	216920274	307369590	250351895
"slr0661"	1	0	2	196180184	120641710	113682720	100274940	98739930	130421020	84239630	213165230	89318930	131514090
"slr0662"	1	0	4	46268010	68467060	46741110	60022880	69444320	49953880	44995740	79989490	34099680	38818170
"slr0664"	1	0	3	20688020	34732830	36671460	19150900	12548093	28582820	22152730	23837180	21130700	45734980
"slr0665"	1	0	34	1561860806	1772661588	1877051388	1693624676	2293972164	1789721231	1621577009	1373809738	1438685427	1505553448
"slr0666"	1	0	1	24778900	3193470	26908500	5045590	14839400	5953530	4980430	4227400	5452090	6419250
"slr0667"	1	0	1	14965900	8452080	8076600	15132500	6451920	28482600	6602250	5570850	19038600	5690190
"slr0670"	1	0	6	382473900	527119310	446740570	512628834	333778790	584203018	616116916	719555764	598123050	585408108
"slr0675"	1	0	1	87249	0	369298	271139	0	0	0	545517	80294.1015625	0
"slr0676"	1	0	6	389364839	586270800	413903500	492913226	591392899	612227500	547994792	338149880	438765226	437723552
"slr0677"	1	0	3	55864030	44627100	55224000	51984800	48138250	42118000	32809690	42725030	48002600	84738200
"slr0678"	1	0	1	27213750	22870490	23903420	40718540	54622100	18783050	65372210	76353700	26304890	41390340
"slr0679"	1	0	1	33639800	20759000	39835100	35323300	68476200	14859000	43925400	18194200	43706600	12971100
"slr0680"	1	0	1	10373940	22744536	25448800	45332100	37691280	58501200	27895300	65701000	88927200	68985900
"slr0682"	1	0	2	20770420	8126780	15157590	10041890	8660710	4651140	7458040	5617570	8140700	6744350
"slr0687"	1	0	1	2777980	1997130	2686680	5851570	457230	590127	1055490	3148800	305308	0
"slr0689"	1	0	6	71128030	102488460	115705600	93516920	94905370	94130200	95102410	103012264	103324490	144119680
"slr0692"	1	0	8	176374400	258592660	207677510	215320200	177469050	245858084	335252204	285230210	214772440	383959780
"slr0695"	1	0	2	107828210	145679850	129122730	142379856	140207250	167466610	207227648	172785280	118211886	203912958
"slr0697"	1	0	4	82435840	83852713	101997004	57967027	67229646	83575444	119408762	44316300	155486094	46953128
"slr0698"	1	0	3	32712500	31142780	61653100	36930200	40821520	62319600	26806710	92326600	43370900	44622400
"slr0699"	1	0	1	12649200	4036030	8737820	11020400	8822260	0	8412620	3629950	6914670	10013900
"slr0701"	1	0	1	114192	549255	13081800	0	0	0	276889	0	0	0
"slr0702"	1	0	1	12713400	19828300	25161000	42475900	8509970	26736400	49131900	38600200	7804380	47404400
"slr0707"	1	0	9	114662490	136597270	254851240	181968940	188539741	192622734	183001366	190144840	162691420	104405140
"slr0708"	1	0	8	381041065	387408591	406679235	407608731	481767290	396425213	418341776	441080818	414197464	458906407
"slr0709"	1	0	3	72569040	105294400	95389700	72509060	78353370	142241018	100598400	117088800	98545020	117717250
"slr0710"	1	0	5	101875940	139696520	98565698	128384553	143425400	105803860	133245820	140462504	113841824	142101588
"slr0719"	1	0	9	142781090	71394690	84304945	63250195	121764464	45856703	43531450	32852915	135968289	81570500
"slr0721"	1	0	8	511298710	526419916	625586300	489203796	482369732	532540328	493379390	535823994	543633584	707455380
"slr0722"	1	0	2	7798080	13141200	15036050	10398140	137031020	13607860	9269270	17535370	17637550	12490470
"slr0723"	1	0	2	35562600	33762900	49672700	48472480	41830200	49101900	42272700	28851590	43043900	44220120
"slr0727"	1	0	3	68267110	40478120	41760820	30324390	44313680	56259030	61306230	27667750	56357200	53000890
"slr0729"	1	0	5	677335532	738489152	794353603	689813882	783916146	801363170	787952964	943247692	797471922	914761830
"slr0731"	1	0	6	184009496	195113500	171004996	171220640	240063928	162455560	218148660	146379910	190714766	187996760
"slr0734"	1	0	1	9964330	15550100	6372370	4724160	6277130	28591100	4937130	8119130	9447630	13917800
"slr0737"	1	0	4	5051920252	6070592058	3417043187	6757115615	6146429350	7452986922	4706107400	5477564996	3356834482	3514077251
"slr0738"	1	0	11	235769012	293950024	179444466.800781	180950256	208552385	187621924	200953377	174202612.5	211267580	162230210
"slr0739"	1	0	4	162164400	199048300	216440930	130579344	196551400	156506540	127806360	149565870	118847395	314847200
"slr0740"	1	0	2	12733019	17768923	100164040	87133710	84630900	56848800	8564054	45594870	84943200	46023970
"slr0742"	1	0	1	15797700	11021100	11961300	12421400	9377050	14350100	10306200	3916060	10359600	6323130
"slr0743"	1	0	10	599236227	633081200	843317133	859838480	751076562	709491774.5	1329676131.20312	880413144.203125	721443301.601562	1364103981.2002
"slr0744"	1	0	25	866273818.800781	1036609866.20312	1328301481.30078	1244573140	1040862235	941311453	1407101496	999776753.398438	1175177513	1180417704
"slr0746"	1	0	4	42907620	48251220	69010790	56826460	38900840	55158990	26827260	51164980	52337580	53131500
"slr0747"	1	0	4	27687769.1015625	51160999.3984375	49134256	71862870.8984375	37774227.203125	56752140.8984375	47566279	36216380	159460809.601562	50366911.3984375
"slr0749"	1	0	3	8123879	16025809	3295285	9146265	915521	3145940	6449332	30050160	40057810	50746140
"slr0750"	1	0	1	1412325	13988200	17505980	21967550	1104745	22337690	16752510	8344570	27068500	25429870
"slr0752"	1	0	18	3345253591	3532781395.69922	3331882981.10156	3369579060.70312	4098193372.30078	3038668978.79688	3871169138.60156	3016030313.19922	2722402180.89844	3106408194.40234
"slr0755"	1	0	2	26264640	18754440	17921440	12511240	14218690	23752400	12289630	11495660	39095900	23118500
"slr0756"	1	0	3	72334370	111668914	141277804	87894630	121772704	93432200	102377300	68712140	115682116	93558260
"slr0757"	1	0	3	103267000	92844826	84532404	96111360	88623780	145093950	193321606	95643470	96401460	94469120
"slr0758"	1	0	4	101233900	184259500	169818340	143196300	147414170	149876300	131395000	147377800	136941700	117677930
"slr0765"	1	0	4	50500860	56148070	59615563	36091790	43800736	27576710	96489252	19435408	52016306	51920529
"slr0769"	1	0	4	57472020	53162205	56865670	56293798	110631180	116412300	67782390	107807130	132168542	128096810
"slr0770"	1	0	1	31884600	34734200	51286200	29243100	45443500	28872800	8589250	27221200	0	16665200
"slr0771"	1	0	1	28858900	11174500	18859200	15230400	29439600	15991700	11132200	102423000	9442000	98629104
"slr0772"	1	0	4	43083890	37191980	49605920	43240250	36104123	31439114	23311750	33278050	67568860	54932890
"slr0773"	1	0	2	30329430	21191930	22090400	15773040	16115366	13202500	14103720	22686770	7487680	10204370
"slr0774"	1	0	8	229613650	288842600	343775496	295767280	366089830	350135500	226707540	246141450	353368324	293586200
"slr0776"	1	0	6	228150100	178159110	204431670	167276990	177040535	155453050	91556600	153971670	146070100	160488210
"slr0780"	1	0	2	34459419	40396340	35353800	28064430	21046530	20386090	76467380	38684230	70566170	61301800
"slr0782"	1	0	6	93893330	106082230	100922930	67538320	76497890	77939400	56059020	109439400	78111860	74425000
"slr0783"	1	0	9	380719760	483347368	456855998	347658838	420632849	548540994	607692107	452964154	271336800	367868172
"slr0793"	1	0	4	1211956520	1269592940	679886870	728052855	884849180	731674596	1099519095	1306070029	472087026	789515080
"slr0794"	1	0	23	1166712223	1102188958	1478251483	982782321	1632714648	1260074768	1697428862	1503867006	1498822984	1388799049
"slr0799"	1	0	1	98695696	137911008	85165104	24306900	13534500	18846700	11851400	71637800	16228800	46419300
"slr0804"	1	0	2	7479020	54486870	46527500	45786720	47515000	34466500	18794600	30619000	27952500	26621300
"slr0806"	1	0	3	14271190	39168120	50197500	39907600	44170834	71645920	119121900	96232720	40189670	82711000
"slr0807"	1	0	1	16325800	15824600	13592300	12005000	19936900	19149800	5100300	6591430	11261700	18900700
"slr0808"	1	0	3	14706610	19827860	23680874	15285403	25166920	38586870	59933730	30599270	54664670	32041586
"slr0809"	1	0	9	299321658	401409812	316320458	394617949.703125	241333115	401330961	335531816	528968247	295809476	293155792
"slr0816"	1	0	2	3913828	17842376	19215339	29723057	7634944	9814020	21814409	14105913.1015625	13814070	18888424
"slr0818"	1	0	5	138400500	93787810	126297730	86416440	90221470	82035470	121282010	78501360	116809700	91239520
"slr0821"	1	0	4	826117344	801443094	1311029500	717533292	732636862	823004514	974248456	733210100	1049117392	841372624
"slr0823"	1	0	4	254501900	211758860	285990400	207912780	279714184	296867000	270349200	215918200	276721572	251745196
"slr0825"	1	0	4	57162730	108216210	45664400	70226060	98204610	97101050	84274660	92152900	58066248	114575993
"slr0827"	1	0	1	19554500	38041700	4397410	20812300	4638100	12613000	2353590	23572500	2151680	0
"slr0829"	1	0	2	6592310	23913810	15906310	6718840	17868530	6720570	18586670	13171200	3928997	29390340
"slr0833"	1	0	1	0	0	647929	80399.1015625	3885970	0	3514110	0	8092060	1264990
"slr0835"	1	0	7	177145047	194606630	258766620	165982552	201226544	170436680	169180010	245537422	182830427	256815430
"slr0838"	1	0	4	55831026	81326030	130561290	105009380	64778530	269870376	171285261	158640750	162507186	164283100
"slr0839"	1	0	4	1709407294	1818107962	1359287062	81716190	2208004366	98741346	584626006	1472866166	846465744	731089966
"slr0841"	1	0	8	287589900	308536314	332720209	260386475	11587009706	257783850	317418876	370043420	279937364	362147804
"slr0842"	1	0	2	7855170	286517	5540170	12501817	2041453	5776310	5334990	4347630	6780460	1948110
"slr0844"	1	0	4	67583354	56621740	46334840	101993900	60976570	89503320	38653290	55653020	111845980	76938700
"slr0847"	1	0	2	12266110	24188600	12929288	28093630	53151000	18495290	29896500	21679890	10418500	29084270
"slr0848"	1	0	6	198645026	165617210	146150537	330282780	187988001	162396323.5	222702326	103066210	131565633	115501241
"slr0851"	1	0	1	2714870	617901	3822910	3808820	2576920	704525	2904750	268471	1686070	1506770
"slr0854"	1	0	4	1279855111.59961	671263672.699219	756957817	431507574.300781	607964714	249369795.400391	390922241	130778992	565111776	481930364.200195
"slr0861"	1	0	9	355648932	331901880	544254092	316027770	352859388	293543150	280760190	256038484	427081195	206485670
"slr0862"	1	0	1	13476400	1270430	0	2471180	0	0	2980860	11080000	0	2312640
"slr0863"	1	0	6	136309470	116324460	117597670	92059940	110837800	99288240	90320660	73370120	94373030	107680910
"slr0864"	1	0	4	30429780	30716630	20091175	34903309.296875	31714720	34762970	41466282	23686173	22419510	10889180
"slr0865"	1	0	2	5553460	11446300	19305909.8984375	10690235.6992188	7131177	7744665	10876033	9599346	10725994.796875	9610770
"slr0869"	1	0	11	402534168	136223190	146326510	145804510	144290170	143627493	81600060	98519753	109162930	103907130
"slr0870"	1	0	1	5726270	8117940	2912110	18335700	3305050	16314700	1879380	1500030	2648380	2277910
"slr0871"	1	0	1	0	1934800	4528800	5040280	9772770	4948910	10953700	6212730	3558830	5857000
"slr0872"	1	0	1	9549260	3050530	18552900	3859380	3168310	15615800	5500900	6671240	5485970	6727820
"slr0875"	1	0	2	113047300	67942800	111006800	35522060	95837504	25033256	134727800	29049340	184563100	34577900
"slr0876"	1	0	8	192240520	204437850	195620670	174046850	173331550	211496720	159199540	182532300	204701160	218348080
"slr0877"	1	0	13	1164828864	951858606	1434294276	1515771980	1381329176	1381269774	1220913754	1225814304	1288080042	1706909624
"slr0878"	1	0	1	10876200	7759350	10548900	11604900	4245130	3076980	4089660	8951830	5459190	8024190
"slr0879"	1	0	1	146150500	161794600	221218992	138173300	133010300	168529800	248337600	105772696	152551004	190905904
"slr0883"	1	0	1	1502770	4260510	3350470	1905430	4574090	4419960	2923720	13087100	18450300	6773180
"slr0884"	1	0	11	788712494	963477768	771700814	972273486	628561805	574157915	671796628	1073262450	770167790	1099574742
"slr0885"	1	0	1	6342920	17491000	8912240	5427210	4717540	26075600	0	1862200	3497810	27735200
"slr0886"	1	0	7	424230826.601562	391726157.101562	524102439	427822170	487688575	476104930	376295406	349847540	638270358	465413567
"slr0889"	1	0	1	8755300	10853470	38374800	10664700	9928560	22349500	47198020	35763100	29530000	24423430
"slr0890"	1	0	1	18243500	21419900	21029700	12975000	19685400	17544500	13398700	17321200	14892500	15814900
"slr0891"	1	0	3	51723440	35496840	28915280	28960050	39944690	41995430	30431050	90335840	42692180	77415640
"slr0897"	1	0	1	11843840	6078540	8439420	6316640	3274380	3279290	7327210	1605248	8847145	3448990
"slr0898"	1	0	16	536192859	656879510	581836732	715443954	658232064	657068426	502459215	695021210	702460869	625798586
"slr0899"	1	0	3	211596092	255001996	109047050	178076000	113632094	111240890	201416200	154889890	245728030	108887904
"slr0900"	1	0	3	63266710	55381600	86970000	63822600	33635860	46860600	44633000	58696700	48689300	33925960
"slr0902"	1	0	3	30082010	41058000	34881430	46171330	46901100	49547010	37502360	47702160	43137500	43335540
"slr0904"	1	0	4	27745620	44082217	46885600	19191990	27172240	16775180	22484378	16611410	14517693	26115300
"slr0906"	1	0	12	2246445453	2287041078	1973679590	1874960144	3358977614	2578071840	2119716616	2404875415	2385468367	2786539890
"slr0907"	1	0	17	575125980	565400500	638082824	623353848	522030307	702240088	551426000	475060008	560981646	592868374
"slr0909"	1	0	10	1836228808.60156	942536520	327776839	359033230	321808829	1388214322	281877700	389997476	429003223	345122610
"slr0912"	1	0	5	164850510	128198040	174406320	253011460	219341296	137402940	179523880	160634260	155646000	211169100
"slr0913"	1	0	2	46144900	25483600	31832600	18107000	30356062	27149370	40115600	40070700	37154100	39193175
"slr0914"	1	0	2	11490830	43920500	19040740	36419140	11466150	40239500	18575420	12007060	15905770	19959710
"slr0918"	1	0	3	21992570	49060219	43716364	30070965	62762530	38581680	27359700	46552600	38374260	34673819
"slr0920"	1	0	1	37818200	24199700	141947008	47724700	110191000	70554304	17491100	43597000	38159700	81234400
"slr0922"	1	0	4	29403790	26457118	36913177	40888762	42871562	38079700	47719610	23185370	37183877	46959820
"slr0923"	1	0	5	397959412	326588730	337883344	410187666	300615843	288818636	496781403	413537946	293853020	271200510
"slr0924"	1	0	4	1016948784	914038684	1770171126	1048283907	2008735890	1223805530	1312003068	733460720	1747466131	1386822978
"slr0925"	1	0	5	106774708	84310359	72882783	141712702	92526581	111839431	124085727	91035692	81882960	87943402
"slr0929"	1	0	2	31712181	61181542	46538219	59564560	47781452	54291120	51338590	61549610	34617720	46582360
"slr0930"	1	0	6	82945590	55627990	130967800	86958430	100108930	96167880	153680180	76765530	95963130	122812290
"slr0935"	1	0	3	31602470	75249380	31766630	45606040	26715500	15235370	16784660	21688390	23813540	28355970
"slr0936"	1	0	1	164190000	65386400	88578400	67229400	141146000	143556000	112129000	8356970	52032100	131345000
"slr0937"	1	0	3	10785555	14682070	18307940	12332204	18742069	26624220	72453500	38547000	24510900	57872220
"slr0938"	1	0	7	79363530	69521850	71670160	52099626	105756120	47892191	48282660	57159502.3984375	98314649	49732587
"slr0940"	1	0	9	226394566	234637177	257740640	210617920	289809190	258985620	243125860	198225830	265884610	231560016
"slr0941"	1	0	1	8889390	4492450	5432830	3457980	18882900	3246000	7304220	8778750	2792570	21366700
"slr0942"	1	0	4	267988175	280009361	190569466.199219	319034958	182294877	171804047	288462248	220480250	161168880	269313950
"slr0943"	1	0	7	252151640	331383758	327688100	252996904	305181524	175390470	347404912	181157580	285112210	262830330
"slr0947"	1	0	10	463202404	500234508	605202950	627705300	536176153	339568236	614880033	643865582	551983842	638996518
"slr0950"	1	0	1	5665930	8707480	6527280	5537450	11422900	8772170	11898400	18130000	8835410	15374600
"slr0951"	1	0	2	9320580	22350750	16144730	27641030	15456690	23033100	19494980	35092700	14195730	22817420
"slr0952"	1	0	6	291449200	194831820	305728090	264357950	361030200	285570090	377688904	224597280	236249320	422184700
"slr0953"	1	0	1	8373310	8250640	7023210	11569200	6882580	6010000	7187240	8828680	3901570	4391860
"slr0954"	1	0	1	37219830	7105750	20234110	21846470	26282680	17345160	9097590	6864930	18704460	9371960
"slr0955"	1	0	3	80601760	19300100	31407596	77369400	69073200	39247690	63374368	118540570	15707137	64355551
"slr0957"	1	0	1	6455340	704963	2496710	5745340	874505	3160140	3371810	5125660	5205450	4431300
"slr0958"	1	0	4	50562147	26157430	31244680	41411890	44892400	68829700	57549260	24896220	30462460	36839580
"slr0962"	1	0	4	167412674	106080884	128540440	163426779	101128657	66434570.1992188	122323100	104022400	129426470	117753990
"slr0963"	1	0	18	675575745	840688041	951087636	749230879	792398598	723019043	856617020	754272135	855968079	871042680
"slr0965"	1	0	10	444109139	313057064	358747830	341094620	284313120	605063144	396222693	348065430	413387522	522686796
"slr0966"	1	0	9	561469890	547754928	375056480	460536872	368561004	410991440	462504500	577455132	523285980	520647320
"slr0967"	1	0	2	69193300	29030690	9779250	7688605	6959588	172955008	5285040	6105218	11332300	4878580
"slr0969"	1	0	2	41504400	46428960	25365570	29809380	23727120	39263170	28627020	54483600	37345300	43427100
