# Protein abundances computed from file '/tmp/knime_labelfree_MSGFp66336/fs-Conse_0-134-66343/000/000/ConsensusMapNormalizer_0/20190103_A1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"
"sll0002"	1	0	8	10911900	0	18353180	27853510	14192110	13813900	12612056.8007812	4335640	41335500	0
"sll0005"	1	0	4	0	35263630	50565200	59834900	6978050	44395700	70950100	55946670	37159000	39147300
"sll0006"	1	0	10	234730400	376724400	315453500	384891220	259114720	323093504	290083296	190052500	301516300	346379590
"sll0007"	1	0	2	37367400	0	18125200	0	54074500	0	0	38452600	64492800	0
"sll0016"	1	0	6	24773300	25652670	67495760	29664800	49448900	70371390	51175060	63595410	72950700	46693500
"sll0017"	1	0	13	1140971884	1336995462	1173054208	1312000302	1426380508	1328777238	1505640092	1209289592	1079416400	1183937974
"sll0018"	1	0	9	113696440	286618712	96810846	134912444	369239408	132199496	490266184	250378496	242488300	304481108
"sll0019"	1	0	13	554155590	619364908	889544394	662566692	693619136	596031804	609400184	675559056	869989712	850075592
"sll0020"	1	0	21	1919015398	2090518222	2398159068	2494802264	1591361938	2148579072	1913594804	1701424949	1547229154	2575649400
"sll0021"	1	0	3	0	26830800	19412640	2799430	8898760	2913600	0	0	14131300	0
"sll0022"	1	0	1	22958200	10259500	0	0	0	0	0	0	5014790	9476560
"sll0023"	1	0	5	32334900	116637700	72694800	60780360	52197900	76529810	76552100	161759200	34105900	24256000
"sll0027"	1	0	1	0	871144	0	0	0	0	0	0	0	0
"sll0033"	1	0	2	116032180	0	29100900	72138300	29573700	25380000	0	6520190	30350700	0
"sll0034"	1	0	1	0	15881700	17927900	0	60249400	19973800	41860600	11111900	40558200	17712800
"sll0036"	1	0	4	72359900	131712000	119780500	102854800	111336000	92007300	134276100	90811000	88999300	70936500
"sll0038"	1	0	6	50848100	43389860	91688200	60642300	72538470	17198600	50379600	20945800	105578896	56143200
"sll0039"	1	0	4	177558900	85673030	186352590	237455304	137228894	210032300	380453408	170957200	13416200	97970790
"sll0040"	1	0	1	0	0	0	532330	229479	0	0	0	0	0
"sll0041"	1	0	11	246037700	230272523	546430210	427870550	248958008	351848600	346737836	439180708	446991358	484149500
"sll0042"	1	0	2	39621100	20409000	0	44166400	14945800	33690570	140056200	89028200	0	44907200
"sll0043"	1	0	5	16153100	17031000	0	77608970	30455630	0	68147520	37301000	12038700	0
"sll0044"	1	0	2	3368100	7907620	17919380	22030020	4868350	6745120	52387600	22280530	11838170	6993470
"sll0045"	1	0	1	0	0	6664380	0	0	0	0	0	3729230	1485020
"sll0048"	1	0	2	34757800	53668300	41917500	54284000	0	50734900	7922360	27156700	8683960	25514000
"sll0051"	1	0	4	213814864	194862256	196110300	406351054	129146400	742425092	534648504	548672739	512450100	980668592
"sll0053"	1	0	6	141659204	249535310	273776800	210022320	202585714	280797952	529044904	339794000	249603004	352732296
"sll0055"	1	0	1	0	0	0	0	0	3286680	0	0	0	0
"sll0057"	1	0	6	615253896	750339600	768106120	524176730	546216978	500935950	458061184	610418678	925876008	910976057
"sll0058"	1	0	10	373650900	420138504	487099404	446993181	332954100	486708612	316602108	399706706	371943900	380210104
"sll0064"	1	0	7	132622496	236017222	110808300	178046200	205406630	134305200	375872108	287267554	179411480	423435716
"sll0065"	1	0	4	255915508	247832900	359403072	332291292	309721308	369485900	230028062	225838700	547926990	294288708
"sll0066"	1	0	3	33981050	9708870	38607700	25152800	9414480	15929900	11526100	31476200	6366850	15376280
"sll0068"	1	0	4	0	4361150	30774250	4443550	29583100	15724640	22549370	0	11183000	13823500
"sll0069"	1	0	5	0	5641500	28202200	44857800	9577170	21545400	10990500	0	4003150	0
"sll0070"	1	0	1	0	0	0	0	0	0	0	3924360	0	0
"sll0071"	1	0	3	0	16509700	11007200	13364600	21332690	16054300	0	11041600	39378720	0
"sll0072"	1	0	2	0	0	0	8347240	0	0	27388900	14575200	0	41820100
"sll0078"	1	0	12	234020260	251236700	343623400	217138068	271693200	384517200	266668260	272985522	278932308	382977823
"sll0080"	1	0	9	702355296	829166544	877121459	1086831626	621424912	700052032	750164414	1010864677	741340165	1208477304
"sll0083"	1	0	3	34482800	19013900	24710800	23850700	16012800	21574852	13801655	46000200	19552800	44889700
"sll0085"	1	0	1	0	8462380	0	0	0	0	0	0	0	0
"sll0086"	1	0	7	158665040	127905400	125704000	151148720	115427900	186234700	98596390	114099270	98095100	131089030
"sll0094"	1	0	1	0	0	0	6859520	0	0	0	0	0	0
"sll0096"	1	0	5	12711500	0	26416030	10347890	15358000	39190000	15040500	22704000	16591910	0
"sll0098"	1	0	2	0	0	0	0	0	3140460	0	13126000	0	5690270
"sll0100"	1	0	2	0	0	36120700	0	0	2995430	0	0	0	0
"sll0102"	1	0	4	322584208	13417600	25142100	37848800	34444000	55736100	38753800	10187500	41065000	11007300
"sll0103"	1	0	2	128631696	0	353120992	33711300	152132100	38556540	138015600	33983800	131324000	63210200
"sll0108"	1	0	1	316977984	0	305694016	504382016	469078016	321708992	433790016	472100000	387068000	323491008
"sll0135"	1	0	1	0	0	10566400	52120500	0	0	0	0	0	0
"sll0136"	1	0	4	76235700	125920800	107881600	115709300	97972800	94863504	119332800	113940400	47135000	124362900
"sll0141"	1	0	2	8783020	9546650	24637400	23846040	23076950	32599420	22883870	27000190	11956380	14401760
"sll0142"	1	0	3	0	0	9950990	0	0	0	0	5546660	0	0
"sll0144"	1	0	6	440524966	528174972	589387118	847513700	459014084	687252990	857533184	950013988	940064784	639374300
"sll0145"	1	0	5	1005886992	834971116	907718316	900304888	759976484	747446098	689320392	663374073.703125	1005153516	687993292
"sll0147"	1	0	5	8325130	0	58707100	37046200	11880900	80947457	55154700	103857600	47824000	36419600
"sll0148"	1	0	6	67267000	24013100	99004200	146213900	59780700	134805070	54786320	75795160	105472400	35405210
"sll0149"	1	0	6	72170370	41352400	117020100	57284100	68969600	70568060	80500600	48051900	66360170	100538600
"sll0154"	1	0	1	6737210	0	12520700	0	0	0	0	0	10282700	0
"sll0157"	1	0	2	0	0	0	0	12338000	386025	0	0	0	0
"sll0158"	1	0	11	356615308	263883400	226724336	311731640	226388640	293438204	181303478	156406686	201609900	256553208
"sll0162"	1	0	3	40168900	38713400	87394600	59416500	81031300	60052000	15652500	17719500	41639000	17904400
"sll0163"	1	0	7	24811890	64733200	80558900	50550600	70782300	191553230	148213000	71462100	157098204	121805760
"sll0166"	1	0	2	0	0	10956800	0	0	0	0	242192	5961970	0
"sll0167"	1	0	2	36494900	0	33015500	26761500	26164900	28204800	27534800	32486900	4015230	15122000
"sll0169"	1	0	8	16002500	35311480	44751000	53984210	69411430	9579110	38166470	16254040	58418020	8578210
"sll0170"	1	0	21	3617669649	3046931344	3690551397	4420111210	3624571992	3692615361	4743458886	4210889636	3754494590	3803645315
"sll0171"	1	0	4	109153600	78108300	100594796	76797100	70813700	31527600	128849500	76356500	64432500	59501700
"sll0172"	1	0	4	176427200	411342100	257631800	293076800	386887400	490033392	427721100	366865392	572488000	326382108
"sll0173"	1	0	7	494139592	502679996	530220790	469561600	526642898	640483400	471775600	553858900	686024844	492736630
"sll0176"	1	0	1	0	17762500	25326500	20426100	22748000	21933800	0	26227700	26224100	23937300
"sll0179"	1	0	7	141495924	100387910	213037450	172857920	123223900	125306590	111363380	118988110	359771582	106277300
"sll0180"	1	0	11	730633231	554097800	549265544.300781	1122622196	575057488	673934092	770119600	720262504	800405940	628278900
"sll0182"	1	0	2	2551510	0	0	0	8442270	10635100	0	9883180	9583840	0
"sll0184"	1	0	1	0	0	0	0	0	0	0	0	3973790	0
"sll0185"	1	0	8	596364139	378662000	390898300	492323008	288713004	360518408	374973000	343147792	460727584	427880392
"sll0188"	1	0	4	60567800	60616700	64404700	70232696	49663300	62851800	54072100	62855090	42608400	28470010
"sll0195"	1	0	1	0	9425910	0	7024310	0	0	25517900	15646000	8128860	30600700
"sll0199"	1	0	2	3574218156	3666720404	299202000	3048270000	2402047552	3409048084	4042708884	4052545520	3828360756	4540002496
"sll0202"	1	0	4	45195500	24458350	45893881	12182650	0	0	0	632205	0	9899060
"sll0204"	1	0	1	0	0	16974600	0	0	0	0	4928830	0	0
"sll0207"	1	0	6	79767900	57708100	94048600	77766120	71524850	60332500	81618600	49527410	77807000	73101480
"sll0208"	1	0	2	76340896	42241400	120043000	89848704	164864988	170454208	110818590	49318700	170538000	61609400
"sll0209"	1	0	4	45501500	31808450	43900900	37142400	39218220	46762700	17252330	26857560	1707130	0
"sll0216"	1	0	6	58554390	62787060	43728900	47904960	32447565	67507944	52237630	57704940	46115099	67096970
"sll0217"	1	0	1	34959000	0	0	0	0	0	0	0	0	0
"sll0220"	1	0	9	65564500	103416700	107851300	146044796	122720210	182353800	211610496	49740400	89749000	167467100
"sll0221"	1	0	2	0	36928100	22819800	34229800	0	17213900	57062100	23920800	0	0
"sll0222"	1	0	1	0	0	0	0	0	0	0	0	8387410	0
"sll0223"	1	0	1	0	0	0	0	0	0	0	8555460	0	0
"sll0224"	1	0	7	522967800	601793808	428314496	330490304	551628396	478809804	420958868	482048308	505609598	530386288
"sll0226"	1	0	3	98162400	121054300	135893470	60218300	87124196	86878870	154724000	120588200	115565596	90061784
"sll0227"	1	0	4	261672004	233703418	86608230	268467000	109961190	236129804	184953710	221940300	291397296	187757860
"sll0228"	1	0	3	120484696	158053436	78505534	159232600	61214900	144181600	64016200	204900400	51308900	118334196
"sll0230"	1	0	1	31893100	55073600	44916100	53948600	39174300	25080700	0	12622100	0	0
"sll0236"	1	0	3	0	0	10383300	12715100	10284900	0	0	0	34643800	0
"sll0237"	1	0	1	0	0	0	0	0	11080900	0	5996250	0	0
"sll0241"	1	0	2	0	0	0	466176000	0	0	26300600	0	243858400	1547406844
"sll0242"	1	0	2	5258460	2900460	7244240	3166560	0	5308840	0	5486470	0	1828410
"sll0244"	1	0	1	0	17172700	0	17032900	0	0	0	0	0	0
"sll0245"	1	0	12	335558410	399969227	366098393	507553696	438810183	432601060	447059277	528087420	324034140	302108489
"sll0248"	1	0	1	0	0	13798800	0	0	0	0	0	0	0
"sll0250"	1	0	1	0	0	0	0	40650800	0	0	0	0	0
"sll0254"	1	0	3	0	6674090	4653190	25935240	13060180	41375630	16970900	16127500	12365600	22706200
"sll0258"	1	0	5	4827360992	4302202280	5564317188	4270045776	6071091616	5828909208	8058340072	5087185708	9843417716	5892358448
"sll0260"	1	0	4	0	0	0	34926100	0	28021000	30941330	18601800	40729810	0
"sll0267"	1	0	3	5543890	116554	0	10345700	0	0	0	0	0	0
"sll0268"	1	0	1	0	1993630	5283510	11925800	0	0	18896460	13262800	8563330	15335100
"sll0270"	1	0	1	0	0	21979800	0	0	0	0	0	0	0
"sll0271"	1	0	5	67648200	139120700	133378704	127852900	97420800	187216500	168782196	90789000	110712900	110615730
"sll0272"	1	0	1	76651296	264744000	82953800	139124000	120178000	100626000	168956992	101502000	87319200	113311000
"sll0273"	1	0	1	0	0	34857600	24887300	0	13409400	18588900	0	7174480	9139100
"sll0274"	1	0	3	24679400	35421210	33030000	35460140	0	65163000	19786000	2958480	26600000	12342100
"sll0283"	1	0	2	0	6137840	22024890	11431000	10161300	0	0	4374440	0	4620900
"sll0284"	1	0	1	0	0	0	0	0	13279900	0	0	0	0
"sll0288"	1	0	2	14574600	0	36885200	9582360	19822500	4279810	23462000	6859750	7639140	7793950
"sll0289"	1	0	6	66311100	122443500	134226220	105578670	141809600	120086400	122491700	119952350	159895900	118151100
"sll0290"	1	0	5	0	27966300	16511500	14377800	5110296	0	9616650	3418340	17451300	18217500
"sll0293"	1	0	1	49179800	0	45662200	0	44706200	36442800	59415400	77042600	0	0
"sll0295"	1	0	1	3440650	0	0	0	0	0	0	0	0	0
"sll0301"	1	0	3	0	19309736	18926500	15105300	13341000	17443100	25137900	23493300	90125400	15581000
"sll0306"	1	0	1	0	13459400	0	0	0	0	0	0	0	0
"sll0314"	1	0	4	182502804	113595080	193968800	113437100	165861500	158220504	107174600	195993393	167059684	146179000
"sll0318"	1	0	2	20167160	0	0	19082600	78582800	19640000	49846500	46650980	23676100	29409660
"sll0319"	1	0	4	178547300	257101500	120424304	282983692	266488492	237361492	367082704	217318400	164745096	295176900
"sll0320"	1	0	5	107411000	114948160	228890470	219007146	220314908	141815800	401586100	274278510	593422238	507692500
"sll0321"	1	0	4	0	2443740	1103300	521948	0	2934809.6015625	909256	2079729.5	21741700	0
"sll0325"	1	0	3	0	21998000	46796400	26523200	0	21621900	43145100	0	0	15153600
"sll0329"	1	0	9	2352795278	2933129740	3378771512	2902495068	2490307404	1919559264	2102190770	2406135896	2442423619	2864630750
"sll0335"	1	0	9	36225620	52987300	98655780	60669400	22085171	31053300	39211189	64677800	93746257	50790760
"sll0336"	1	0	5	41475910	49663005	56236560	63296930	52691390	57875300	39628500	51873500	39190600	64343430
"sll0359"	1	0	4	2806492308	3794811679	3935870680	334933992	2017632216	3408523464	2293530576	4985809204	4433773936	197677600
"sll0360"	1	0	1	0	0	0	0	0	0	0	0	0	1133740
"sll0362"	1	0	5	193945170	177921530	283306404	164669800	229084200	120078160	178021600	177539820	148276900	189080796
"sll0364"	1	0	1	4272630	0	0	0	0	0	0	0	0	1118920
"sll0368"	1	0	4	52125600	75058780	0	44074700	0	18162610	45722440	105343770	0	3898520
"sll0370"	1	0	22	1620461138	1522528638	1481692974	1607914360	1155060358	1128775895	1108559050	1333030012	1295301436	805357298
"sll0371"	1	0	1	0	0	0	0	0	0	0	0	35919300	0
"sll0373"	1	0	8	30170900	129262900	90257000	132836910	71722800	105480830	80351400	181404800	259122008	120979400
"sll0374"	1	0	5	101595250	86745840	128703930	96118300	65178100	214733620	93830500	129777004	344599616	336892780
"sll0377"	1	0	6	11868000	7564800	30937350	3255873	0	10806400	0	15595400	0	19954500
"sll0378"	1	0	1	0	0	13123500	8955620	0	0	9094370	13657700	0	0
"sll0379"	1	0	5	181826200	229663300	300015500	188347000	194084500	284969708	183940330	144246496	185678100	209240570
"sll0380"	1	0	2	0	4933690	13585470	8491870	6480860	0	10857800	0	0	0
"sll0381"	1	0	1	4952820	0	0	0	0	0	0	0	0	0
"sll0394"	1	0	2	11237200	0	89358964	1420300	5111870	0	0	0	2185960	7763060
"sll0395"	1	0	3	125660246	191809460	253197724	366427430	24053700	200187400	179803380	127687970	178317949	34904805
"sll0396"	1	0	1	0	13502200	0	0	0	0	0	8392680	0	11316300
"sll0400"	1	0	1	0	4668420	6887210	8162840	0	0	6612140	0	0	0
"sll0401"	1	0	3	56531381	105245896	161136300	232574692	139463008	318421764	564910308	636328212	269168300	305507008
"sll0402"	1	0	6	227154340	285466400	224161954	157170100	163561400	178700104	271478500	203340514	398116600	244013804
"sll0404"	1	0	4	38902770	57838380	61384400	51608900	39025400	102642400	45499400	40852800	21988310	67047050
"sll0405"	1	0	1	0	0	0	0	0	0	0	0	0	31196600
"sll0406"	1	0	1	0	0	0	0	0	0	0	0	11275600	0
"sll0408"	1	0	11	1249940038	1136896834	1197255982	1244703704	722967792	1028350964	922942197	1596572506	629788784	1270185974
"sll0410"	1	0	1	0	0	0	0	0	0	0	4968190	0	0
"sll0414"	1	0	3	25293400	40707100	43383100	27339100	29521500	0	45288000	87999400	0	33490800
"sll0415"	1	0	4	0	10916050	67334200	42848700	0	22963500	63742580	13796800	65877000	74726500
"sll0416"	1	0	22	6964075115	5976564849	9138392812	9780304086	5462919504	6806099388	9929811674	11178133129	6890618614	4249800598
"sll0420"	1	0	3	31859500	0	52567100	0	12767900	50053400	15364000	31736100	0	71956600
"sll0421"	1	0	8	363466096	389062900	367579800	460487800	318806500	491921004	290950296	339886604	293660390	370582908
"sll0422"	1	0	5	237682200	268457114	266074720	259243256	263758650	290384800	178528150	212755856	146576100	217937500
"sll0424"	1	0	1	0	0	0	0	0	0	0	0	0	723363
"sll0427"	1	0	15	8334270379	6880799714	7180169435	6068654768	5513940122	7236436468	7746271412	9698030272	6294894522	9174306888
"sll0428"	1	0	1	0	0	0	0	0	0	21498400	0	64237700	0
"sll0430"	1	0	13	1107850412	1082193712	1341330588	1297385100	1649430468	1692551812	1652598080	1549684316	1579441896	1342059176
"sll0441"	1	0	5	14107800	15829730	20989500	62508600	0	40763000	33530400	13043300	15954600	54724100
"sll0443"	1	0	7	27127300	11640370	77181800	55281250	25921350	49796570	129881600	116015500	54808420	65861400
"sll0449"	1	0	1	0	0	0	0	8403980	0	0	0	0	0
"sll0450"	1	0	1	0	0	0	0	0	0	0	1042240	0	0
"sll0454"	1	0	5	106335100	142446160	143316100	132504300	166343800	165407600	147326500	121486800	61035550	122666700
"sll0455"	1	0	5	173282100	219825980	349881600	317580100	265270600	178022000	184400234	130910304	328996000	264379296
"sll0456"	1	0	3	0	0	7605620	21990200	0	31135900	19811100	0	24140340	14273300
"sll0459"	1	0	5	60487700	25675900	22074500	57117800	49396900	27058000	20951500	66095900	26908000	28349100
"sll0461"	1	0	4	113168200	86822200	131192200	170983300	86773800	124488996	132178196	80655500	101483000	126771196
"sll0462"	1	0	1	0	0	0	0	0	0	0	0	0	542221
"sll0467"	1	0	2	0	0	9186830	39914000	0	0	0	0	0	0
"sll0469"	1	0	6	632351992	483077844	566134372	499974196	417081400	453072596	497546104	258879592	241537860	274912600
"sll0470"	1	0	1	46622300	38953400	42306700	49803100	43528500	35740100	0	45775700	58629300	54097500
"sll0474"	1	0	1	0	1635480	0	0	0	0	0	0	0	0
"sll0477"	1	0	1	43117000	41560900	54339000	60534600	68675104	58181300	39185900	24135900	47848200	24574600
"sll0480"	1	0	11	799541546	595719312	657109892	734440966	596825810	621167832	574338270	743819475.398438	430878000	522943346
"sll0486"	1	0	3	7480310	10357900	82037060	28772200	13123200	11050500	19629100	5352700	24188100	24494300
"sll0487"	1	0	6	70018730	81776900	130611900	109605800	128927700	173069104	70120690	68064400	96182840	91513700
"sll0489"	1	0	1	37326300	29104100	58117800	30762500	40604100	23387100	22550200	24334100	33331000	35128600
