# Protein abundances computed from file '/media/storage/timothy/tmp/knime_labelfree_MSGFp27083/fs-Conse_0-134-27089/000/000/ConsensusMapNormalizer_0/20190125_FA_005_R1_0.consensusXML'
# Parameters (relevant only): top=0, average=sum
# Files/samples associated with abundance values below: 1: 'UNKNOWN', 2: 'UNKNOWN', 3: 'UNKNOWN', 4: 'UNKNOWN', 5: 'UNKNOWN', 6: 'UNKNOWN', 7: 'UNKNOWN', 8: 'UNKNOWN', 9: 'UNKNOWN', 10: 'UNKNOWN', 11: 'UNKNOWN', 12: 'UNKNOWN', 13: 'UNKNOWN', 14: 'UNKNOWN', 15: 'UNKNOWN', 16: 'UNKNOWN', 17: 'UNKNOWN', 18: 'UNKNOWN', 19: 'UNKNOWN', 20: 'UNKNOWN'
"protein"	"n_proteins"	"protein_score"	"n_peptides"	"abundance_1"	"abundance_2"	"abundance_3"	"abundance_4"	"abundance_5"	"abundance_6"	"abundance_7"	"abundance_8"	"abundance_9"	"abundance_10"	"abundance_11"	"abundance_12"	"abundance_13"	"abundance_14"	"abundance_15"	"abundance_16"	"abundance_17"	"abundance_18"	"abundance_19"	"abundance_20"
"tr|Q0K218|Q0K218_CUPNH"	1	0	1	0	0	0	0	0	1624930	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K224|Q0K224_CUPNH"	1	0	5	190802300	30090900	91807900	65689100	113707796	47563700	93378000	94134800	74716896	164325600	46114200	26110800	203010500	39389900	78513400	123549900	71701370	21203500	152683800	80486500
"tr|Q0K226|Q0K226_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	2112250	0	0	0	2079880	0	0	0	0	0	0
"tr|Q0K227|Q0K227_CUPNH"	1	0	1	30400400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K228|Q0K228_CUPNH"	1	0	1	0	0	0	197573800	0	0	0	74148600	0	0	0	63702000	0	0	0	0	0	0	0	0
"tr|Q0K229|Q0K229_CUPNH"	1	0	3	165239200	71918496	94705696	81032200	72283800	55899600	95488800	67673000	46096800	45322800	56204600	59116600	43952100	50913000	51895900	45587000	34932100	45514700	42836400	53762900
"tr|Q0K230|Q0K230_CUPNH"	1	0	1	0	0	0	0	0	0	3020980	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K231|Q0K231_CUPNH"	1	0	5	325730608	382815592	301994908	727522692	645853984	579525792	231238200	529802016	202075008	688378508	0	646077008	95065200	0	524888000	421541500	160803696	252954000	519911992	365982016
"tr|Q0K232|Q0K232_CUPNH"	1	0	1	78680096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K235|Q0K235_CUPNH"	1	0	2	24733000	0	0	0	0	0	0	0	0	0	0	0	14399100	0	0	0	49805900	0	0	0
"tr|Q0K236|Q0K236_CUPNH"	1	0	2	65494900	48996900	30597100	44996000	53953000	39208100	93310000	75773800	30361500	21693100	37576000	35832600	0	0	37756200	11948300	8092080	21162600	0	38281900
"tr|Q0K238|Q0K238_CUPNH"	1	0	7	331994005	269488908	148302800	91890850	54853900	42933400	49139000	52931730	0	0	0	0	6805270	0	0	0	0	0	0	0
"tr|Q0K240|Q0K240_CUPNH"	1	0	4	309679296	189441200	266698192	91183240	109183000	0	152358504	104047000	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K241|Q0K241_CUPNH"	1	0	10	642907566	339516992	608067142	760024912	520731796	519121392	658389296	735106080	235718296	66637410	345590496	31366400	168453600	28266500	97434100	75592400	92613000	0	0	63645200
"tr|Q0K244|Q0K244_CUPNH"	1	0	1	0	29569400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K246|Q0K246_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1148240	0	0	0	0
"tr|Q0K247|Q0K247_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	47866200	0	0	0	0	0	0	0
"tr|Q0K250|Q0K250_CUPNH"	1	0	1	0	0	42608500	0	0	0	0	0	0	0	0	0	0	11990200	0	0	6570690	0	0	0
"tr|Q0K251|Q0K251_CUPNH"	1	0	1	0	0	41923600	0	46180200	0	0	0	0	62199400	56698400	0	0	59980300	0	38486400	0	83251296	32234600	26410300
"tr|Q0K253|Q0K253_CUPNH"	1	0	1	0	0	0	0	88499400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K255|Q0K255_CUPNH"	1	0	3	50144600	0	0	0	0	0	15760700	0	0	0	0	0	20707100	0	0	0	0	0	0	0
"tr|Q0K260|Q0K260_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	13376500	0	0	0	0	0	0
"tr|Q0K262|Q0K262_CUPNH"	1	0	5	1690815728	621692300	826789996	626448880	908013900	675950988	1544264060	577270508	624188320	308775400	333642704	404106504	1116870000	373373642	375146100	616859804	1095927008	449557692	431021492	465380892
"tr|Q0K266|Q0K266_CUPNH"	1	0	2	0	194444000	0	0	0	0	0	0	0	0	0	396311	0	0	0	0	0	0	0	0
"tr|Q0K269|Q0K269_CUPNH"	1	0	1	0	0	0	36906.8984375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K270|Q0K270_CUPNH"	1	0	1	44184400	0	0	0	17667500	0	0	0	19687800	0	5274720	0	81610096	0	0	0	75318800	0	0	0
"tr|Q0K271|Q0K271_CUPNH"	1	0	6	28582323	203947200	67179296	59729200	60407000	218768000	48100670	140271008	42948100	109338207	84823990	97131511	52732800	59597800	0	0	18759890	0	0	66504400
"tr|Q0K272|Q0K272_CUPNH"	1	0	3	92401396	0	48495300	64239100	96852100	127789000	68241840	54050600	35879700	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K273|Q0K273_CUPNH"	1	0	3	132212600	47364063	13262650	1462980	58628800	15574250	136770500	3034000	55946600	0	12020360	0	65092600	0	2324940	0	109992296	0	0	1192180
"tr|Q0K274|Q0K274_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	39330500	0	0	0	0	0	0	0	0
"tr|Q0K277|Q0K277_CUPNH"	1	0	3	1360556000	862032000	571948016	621063384	318156808	466884992	548400000	320141984	210212300	332010896	316370096	173944200	240966992	234883000	217807008	333858588	211417392	148893800	161040500	349570000
"tr|Q0K278|Q0K278_CUPNH"	1	0	7	419687104	846350976	29261520	1031380076	0	101508000	33328700	35842800	261516596	337889500	362079596	428683492	200569900	362702292	173859300	259799000	139625600	251703808	317110516	132736596
"tr|Q0K280|Q0K280_CUPNH"	1	0	1	0	6883540	2639080	7208880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K281|Q0K281_CUPNH"	1	0	3	28187300	0	0	0	0	0	0	0	0	0	0	0	9004110	0	0	0	4116180	0	0	0
"tr|Q0K282|Q0K282_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	1176620	0	0	0	0	0	0	0	0	0
"tr|Q0K284|Q0K284_CUPNH"	1	0	2	35888400	268716000	62193200	0	0	0	66553700	65898300	0	77408896	51750500	60443000	0	265015008	0	0	0	0	23987900	0
"tr|Q0K287|Q0K287_CUPNH"	1	0	18	435576096	922217496	990405100	794671000	785734992	1437947386	1040293024	1273352280	636121890	2035617040	1467803084	229423196	538198600	1102056138	1779656608	369578720	450495030	600554394	695584632	1392205186
"tr|Q0K288|Q0K288_CUPNH"	1	0	3	87974704	114318000	101092000	0	0	0	151946496	0	0	0	0	0	0	0	0	0	65181500	0	0	161862000
"tr|Q0K290|Q0K290_CUPNH"	1	0	2	0	100584000	0	0	3652130	0	0	0	8735720	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K291|Q0K291_CUPNH"	1	0	2	72662900	0	0	0	8851050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K293|Q0K293_CUPNH"	1	0	1	36143700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K294|Q0K294_CUPNH"	1	0	1	30136600	0	0	72098000	9811170	0	0	0	0	0	0	9138820	0	15844000	8553890	0	0	0	0	12186600
"tr|Q0K297|Q0K297_CUPNH"	1	0	3	37061000	0	0	0	0	0	73482100	0	0	0	0	0	47399000	951445	10423700	28445600	31071900	0	0	0
"tr|Q0K299|Q0K299_CUPNH"	1	0	1	0	0	0	0	0	0	22889500	0	0	0	0	0	0	0	44382600	0	7502120	0	0	0
"tr|Q0K2A0|Q0K2A0_CUPNH"	1	0	7	129026704	154239700	74876900	187496910	157494800	104507600	196109504	117574296	50813000	3964690	41708100	128306400	0	0	107422470	28237600	20349100	0	13983200	39609000
"tr|Q0K2A2|Q0K2A2_CUPNH"	1	0	14	182832096	21017400	0	24743000	216656700	46877330	169439750	107256050	477589050	545758100	485196404	253649500	327831204	471951632	290922300	439089136	216387804	392086500	383909408	615097104
"tr|Q0K2A3|Q0K2A3_CUPNH"	1	0	2	0	0	0	0	0	0	0	0	0	7003700	0	0	117443000	0	0	0	0	0	0	0
"tr|Q0K2A5|Q0K2A5_CUPNH"	1	0	2	70129600	0	586094976	0	134180000	0	134326000	171968000	92927600	183124992	294012000	0	42893000	182703008	0	125589000	52506200	108639000	0	148311008
"tr|Q0K2A7|Q0K2A7_CUPNH"	1	0	8	164071562	465468828	1000159632	635275792	153996500	427255304	581378200	1021327168	187186400	235657308	66978700	477397400	155782000	24595510	443342000	26262400	137064800	52541900	225449400	255877092
"tr|Q0K2B3|Q0K2B3_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	49822700	0	0	0	52621200	0	0	0
"tr|Q0K2B4|Q0K2B4_CUPNH"	1	0	2	0	0	3682440	0	0	0	111479000	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2B6|Q0K2B6_CUPNH"	1	0	2	414327008	0	0	0	0	0	0	0	0	78389104	0	0	137832000	0	8419180	78545104	197840992	0	0	0
"tr|Q0K2C2|Q0K2C2_CUPNH"	1	0	1	40909800	0	0	0	90134896	0	0	0	0	0	0	42149000	0	0	0	0	0	0	0	0
"tr|Q0K2C4|Q0K2C4_CUPNH"	1	0	1	0	15555000	156397100	98545296	0	0	0	0	0	0	0	0	0	135404000	0	0	0	0	0	0
"tr|Q0K2D0|Q0K2D0_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66082100	0	0
"tr|Q0K2D6|Q0K2D6_CUPNH"	1	0	1	0	0	24783300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2E5|Q0K2E5_CUPNH"	1	0	2	0	0	0	0	0	0	70969800	0	0	0	0	0	0	0	0	0	10686800	0	0	0
"tr|Q0K2E7|Q0K2E7_CUPNH"	1	0	3	0	0	0	0	0	0	0	3213690	18184000	0	8729290	37045900	41411200	0	0	0	0	0	0	18696900
"tr|Q0K2E9|Q0K2E9_CUPNH"	1	0	1	0	0	0	234674000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2F3|Q0K2F3_CUPNH"	1	0	1	8451400	0	0	77977504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2G4|Q0K2G4_CUPNH"	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99276704	0	0	0	326600000	0
"tr|Q0K2G7|Q0K2G7_CUPNH"	1	0	5	62340200	284136000	286885904	228150100	95755904	201096700	28067000	171325000	125147500	243640000	148812992	208694000	63163900	190307296	86463696	76494000	54512000	174680592	46987600	87155696
"tr|Q0K2H4|Q0K2H4_CUPNH"	1	0	1	7230480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2H5|Q0K2H5_CUPNH"	1	0	3	143793896	14166800	15236300	0	19913500	0	150562300	0	0	14806800	0	0	109049300	0	29875000	77538600	95129300	18025600	0	9465200
"tr|Q0K2I3|Q0K2I3_CUPNH"	1	0	3	141280700	169824400	63088100	74231800	0	0	0	9570890	0	0	0	0	0	0	0	0	0	0	0	79200496
"tr|Q0K2I5|Q0K2I5_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1156250	0	0	0	0
"tr|Q0K2I9|Q0K2I9_CUPNH"	1	0	1	47877100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2J0|Q0K2J0_CUPNH"	1	0	1	0	0	0	0	0	0	716241	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2J2|Q0K2J2_CUPNH"	1	0	3	28852500	202695300	107992296	0	87289904	281213388	97148900	166164900	27161000	152778000	200401096	78390304	44255500	104833000	301412608	62461500	38878900	83879696	0	166667200
"tr|Q0K2J3|Q0K2J3_CUPNH"	1	0	1	0	0	0	0	0	0	20992000	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2J6|Q0K2J6_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9461580	0	0	0	0	0	0	0
"tr|Q0K2J8|Q0K2J8_CUPNH"	1	0	3	0	5894550	0	0	0	0	56818800	0	0	0	0	0	42986700	0	0	11289500	36629300	0	0	0
"tr|Q0K2K0|Q0K2K0_CUPNH"	1	0	1	0	0	5951630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2K7|Q0K2K7_CUPNH"	1	0	3	0	0	0	0	0	0	40866700	0	0	0	0	0	169630004	0	0	246809900	143518896	0	0	0
"tr|Q0K2L3|Q0K2L3_CUPNH"	1	0	1	0	0	0	0	0	0	20298100	0	0	0	0	0	0	0	0	0	37495200	0	0	0
"tr|Q0K2L9|Q0K2L9_CUPNH"	1	0	8	390721	82596896	0	0	0	33929938	0	0	0	31293700	0	0	22109600	0	0	44897600	60808500	41550800	0	0
"tr|Q0K2M0|Q0K2M0_CUPNH"	1	0	2	5322750	0	0	0	19977700	346262016	18059800	19495600	0	71789296	0	109581000	0	0	0	0	3815660	0	0	0
"tr|Q0K2M1|Q0K2M1_CUPNH"	1	0	2	4207190	11721300	17254400	22248400	18347800	23220500	7720910	23644900	10405900	23709100	15759100	13153700	20265970	12836100	13470200	4567890	0	16895800	15559700	19312300
"tr|Q0K2M2|Q0K2M2_CUPNH"	1	0	19	2268223408	3774389772	8108456256	9506140869	4594883532	4168214724	2711606398	11322931793	4832548288	3939242054	10656094316	10568609320	2445008660	7246029504	3876457992	6041084212	2389427814	4407449916	9303214568	5131459691
"tr|Q0K2M3|Q0K2M3_CUPNH"	1	0	4	0	27665900	50318470	0	45525400	50113600	0	0	80380900	119663200	86105000	133341800	107161200	156728800	262341248	0	97904700	194192000	159442096	159751600
"tr|Q0K2N2|Q0K2N2_CUPNH"	1	0	8	222803220	118992396	68206600	0	190861108	75069000	669831860	98443500	187581500	37045900	88851004	196243800	311637204	165076600	55526200	166537970	263518566	104546800	32720160	17470600
"tr|Q0K2N6|Q0K2N6_CUPNH"	1	0	4	0	0	0	0	0	0	0	0	36305400	0	0	0	422874600	20310900	0	0	602697004	0	0	0
"tr|Q0K2N7|Q0K2N7_CUPNH"	1	0	17	2312647980	1461276200	934017904	2669106048	2635059744	2202150827	2838583580	3499602808	2886999217	2010512991	2240354242	2537287424	2720819184	1413133107	2054528388	1887338252	2412265576	1545503124	2113868276	1682395524
"tr|Q0K2N8|Q0K2N8_CUPNH"	1	0	4	0	0	0	54595770	0	0	3124880	0	0	43981600	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2P1|Q0K2P1_CUPNH"	1	0	1	23984400	0	0	0	83523296	0	29074900	0	76178496	0	0	0	0	0	67459696	36164090	0	0	51987700	78470000
"tr|Q0K2P2|Q0K2P2_CUPNH"	1	0	3	20337120	87813600	79544800	121929000	70930800	53322100	51327700	110315000	40945200	47877900	18615600	0	7745500	29954400	30079400	7002000	0	28668100	34219300	20453700
"tr|Q0K2Q4|Q0K2Q4_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10125800	0	0	0	9261450	0	0	0
"tr|Q0K2Q6|Q0K2Q6_CUPNH"	1	0	3	204504000	94530400	0	0	0	0	0	8834920	0	0	0	0	0	0	0	0	3794300	0	0	0
"tr|Q0K2Q8|Q0K2Q8_CUPNH"	1	0	2	16545700	0	0	0	0	0	7909040	0	0	0	0	0	0	0	0	3011930	0	0	0	0
"tr|Q0K2R0|Q0K2R0_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93316600	0	0	0	0	0
"tr|Q0K2R1|Q0K2R1_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2335830	0	0	0	0	0	0	0	0
"tr|Q0K2R2|Q0K2R2_CUPNH"	1	0	2	22309500	18953500	18569500	0	17455600	10710200	0	0	0	0	0	0	0	7032230	0	0	0	0	0	0
"tr|Q0K2S0|Q0K2S0_CUPNH"	1	0	1	11726100	64208400	0	36354800	17718700	0	0	0	0	0	35030500	0	0	0	0	0	0	0	0	0
"tr|Q0K2S1|Q0K2S1_CUPNH"	1	0	1	0	5905420	0	0	14470000	7217540	0	5573650	14572300	7489480	8982230	9081790	0	10271400	9269590	0	0	9671550	9243240	6835840
"tr|Q0K2S4|Q0K2S4_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180200992
"tr|Q0K2S8|Q0K2S8_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	49317700	0	0	0	0	0	0	0	0	0
"tr|Q0K2T1|Q0K2T1_CUPNH"	1	0	2	0	14851000	0	0	15347700	0	0	9623540	0	3164090	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2T2|Q0K2T2_CUPNH"	1	0	1	0	0	0	0	6931900	0	0	11483700	0	0	0	0	0	0	0	0	0	0	6278860	0
"tr|Q0K2T3|Q0K2T3_CUPNH"	1	0	1	10210000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23593400	0	0	0
"tr|Q0K2T5|Q0K2T5_CUPNH"	1	0	2	0	0	0	0	0	0	0	0	8493060	0	0	0	54913000	0	0	0	0	0	0	0
"tr|Q0K2U4|Q0K2U4_CUPNH"	1	0	1	0	0	0	0	0	0	0	0	0	0	14730800	0	0	0	0	0	0	0	0	0
"tr|Q0K2U6|Q0K2U6_CUPNH"	1	0	2	20424600	208774000	344772992	112280000	52040100	49554400	66962600	119387000	0	38781900	0	0	21589700	0	0	0	0	0	0	0
"tr|Q0K2U7|Q0K2U7_CUPNH"	1	0	1	102684000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2U8|Q0K2U8_CUPNH"	1	0	1	0	0	36245800	0	0	45873500	0	0	0	50493700	45366600	0	0	0	0	0	0	99025696	51233400	0
"tr|Q0K2V5|Q0K2V5_CUPNH"	1	0	1	0	0	0	0	12010000	0	0	0	12389700	98931600	0	0	0	0	0	0	0	0	0	11447300
"tr|Q0K2V8|Q0K2V8_CUPNH"	1	0	1	0	87984200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2V9|Q0K2V9_CUPNH"	1	0	4	0	0	0	149318000	952249	0	0	0	0	0	0	0	0	0	0	0	25589400	0	0	204935008
"tr|Q0K2W3|Q0K2W3_CUPNH"	1	0	1	0	0	0	0	93857296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"tr|Q0K2W8|Q0K2W8_CUPNH"	1	0	2	0	0	0	0	0	966644	0	0	0	0	1605470	0	34793100	2507420	1820530	0	34216800	1760240	883541	0
"tr|Q0K2X5|Q0K2X5_CUPNH"	1	0	5	337237800	165696400	238507820	201738404	0	53019900	105478704	17484100	0	0	25804800	0	38972259	0	36707400	19196000	33345300	0	0	0
"tr|Q0K2X7|Q0K2X7_CUPNH"	1	0	1	0	2260840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
